title,display_level,md5,sha256,beta_easy,beta_hard,alpha,has_data
endemize [triumph],st5,02a3f3b4707f863469ac7c67e12e9365,515e7fe7402ac01f06a3a88922c0b7dde6fcc79acef3495ed3041b007ad83d5e,0.905,1.725,5.465,True
Latch (Flip-Flop) [Spinner+],sl1,02af89d2c76d4494b6561ee2c94b15cd,54abc6e91337d65f7eee6969ac169a2fdbfaecfc341efbb387589f4e217d2b34,-0.129,0.185,6.691,True
RAVE YOUR ROCK,sl0,02c4d238c7ab99ae088bae519d92dc06,000fbcfe0fce450b9bb7fb1fdf727a5d58bbb90c38b86b4761a35b3318c01d23,-0.799,-0.103,4.737,True
L9,sl5,02cc25e2711ba839c5db93d3579b2816,44a4e21c3a685245ef7a9a15820dd7f94d18e7c850b01f60358245920a2de2a6,0.178,0.405,9.478,True
Destr0yer -Hope-,sl4,02d946340db4001ec78b1e6b9af3a388,3862a984f0a342394d0f62d85fb50a6cc1a327ee60f86017ff6e91c3f0fd34c6,0.095,0.373,7.901,True
Angel's Salad [REALISM],st3,02fd0a7beaded078d6c68ae4480c5908,b7e0f2b0772fa491466c597b94d47696dce4a48d41eba39f28a881d6657a0ad5,0.896,1.163,9.038,True
MIMAKARU [SP ANOTHER],sl2,03180c94e63bfd223a50366bb58051f2,3ed084b9de5772b7040dc15826d6eea2c8389cae533161d9a4a07063fe0dde67,-0.140,0.233,8.064,True
Jack-the-Ripper◆ [yumether],sl10,0333321c1f9be693f214e6a5f46b9c99,9648c34bf586b5a4743f553c4c26ebcae1c6df2b5e07a222d74aa26256d8445e,0.518,0.696,10.431,True
Romantic Children -Eclipse-,sl11,0343af1da0eefa6455778d765b6e57da,a8d039d17739013f15e70cad80d5eab43a8202583612ac1d4458a4a181f3211a,0.543,0.716,13.384,True
Lapis -The Heavens Remix- [Reminiscence],st2,035eec9c7964ebea27c4163def2453d1,ff923c98d8d7707fab65514c843532fab5ee77db21681a41dfc6dca9b7bb274c,0.794,0.984,14.743,True
赤 [W],sl4,038cf0248a84abb1579cfefd8cdad050,eb6ca8ea482975ff6bcdbae1a4b6619a8cecce14f2049f6ac7ce982fc4b6f980,0.001,0.349,9.916,True
fly*high*five [ZOI],sl3,03a9fa5af9ab65bf403777ad3ee43909,7314d5b8583856222bc58b99ab874e7f07a0a3eeb677420461396c42dad8d77b,-0.095,0.265,10.241,True
ピアノ連弾的「You」～ひぐらしのなく頃に～ [ LEVEL 4 ],sl6,03b5e03744b05b8f6534f8a8869d2243,db9ea9c0c34394ff83a08f2aba1d5be83198468ec34f5620317fd41cd203e762,0.249,0.413,9.896,True
Gecko [Ruff-Ruff],sl9,03c6c655edd150ab3058db08a75e98ea,574a372b4553acc05197633a687a3bef9c6baa5a4ee912eeec3c82c5a30e63d7,0.397,0.611,12.438,True
Signager (mania7),st2,040e60aa93b5541a64a931c8c25f401c,76cb19dec68b444ac4821a3170be394565863ced5c9df09056c8018e111cdfd4,0.771,1.016,10.606,True
夢、幻。 [HARDEST],sl7,04138e9e8b9a54b55cb7f22abb47f975,66fd5f4d3c137e195bea6686d5d962cda82c7f827e04bab8890fea4ca2aac1e4,0.277,0.518,8.505,True
超度 -Go Beyond-,sl6,04188c2d542f4c46f35c2c08a5104243,50b994764f950a8cc03c093f6eff7c451428aed0b4f086324428d99375efbcb6,0.134,0.440,5.610,True
わるいコ -希望-,sl4,0433ff25c2ec3a87ef3049a26338a7d5,2146d2d5772654425613c3d9afd9e3fa3b701635be7ace716985b17d90638439,0.039,0.342,8.607,True
イナリッチ [MONEY],sl9,04358a9776ed6fb81fe30eaa930e6eb7,3a9f6db4d78cba35bddf6ec7b4d93c1b7363533a5a26fc7d74e5fed369575e10,0.250,0.557,10.581,True
午後のこいしちゃん [HARDEST],sl8,04430d542adc343c48ddb3928104f552,f2792b0d5ddbaa0ea16d14c72a05074e923f1452e3e4037d3fae57364dab4210,0.290,0.513,10.290,True
Blooming!! [Insane],sl9,045e3498d2e72b49679ec97a32a8c9ae,666d82372e699289caf8419da4ff752666392abed767bc3e0da49425b9acbdb9,0.407,0.608,9.715,True
友情＞＞＞(越えられない壁)＞＞＞恋愛 [La Senorita],sl2,0496e348a2253430658af85f410cda4b,0a3e0caea550bd326b99d2198d0308a35205ce521592fc475e39fb2094b8dd9d,0.018,0.239,8.574,True
シグナルほっぴんぐ [Yakther],sl12,049a283f3e0ae3509a718474a2706c7c,10984f1bb4b3b1af62c64cf6e69aa73899bdcbe552ae4c99e18ec729f8e0ddf0,0.565,0.768,10.428,True
Deublithick [INFELNO],st4,049accd5306faaa7c668fab8b17e10e1,8e5b47522c32dd82f3485167b8f9bcdc5cdc3b86f9c9c797eb9661bf3afe5d4f,0.905,1.244,8.192,True
溶けたアイス、キミの声 [MELTY],sl12,04bd8f404bc86c7254f44a2e4d6a0814,1d62ac02a51a2546f00f9707f75a2cc387b9b137a1df7c70a77a39af3d47bbaa,0.500,0.726,10.063,True
cold planet [Hexagon],st3,04c5a8befa2174379f4e1cfa32c94c17,8b34f1083dd453029e9a77b172045f81aa5ea7612884669fe566a199e4364fe5,0.824,1.079,9.947,True
"Crimson Liar(""Sadistic girl"" Mix) -Nightmare-",st4,04e3d569f934712e5511ddd69983d49c,67090c0a2f1b26daeeb243e54e95ef6339c5c248098b9fe8a1ca1769aef6f1bf,1.040,1.602,7.589,True
村 [ENT],sl0,05251470b0e850b7956b53ee51c70247,4143f8eafdc7e10b547dd63a3810f9033b2f950b6c1dae01fa1d3649c5649ebf,-0.677,-0.159,4.481,True
Demystify Burst [BLAST],st0,054252c80fe3962826909cfc517f18e9,a92cae940ebf845a0adbb75164648277a1d379c2aa846bef0ea04157547fa559,0.557,0.836,12.414,True
シミュラ・ラクラ [ANOTHER],sl1,054ffb545ae05578a30bc061590e3f34,6100b6d931a211771761645ab1d3f228fcf2b3c2cf63458b41fdbf99393bb500,-0.405,0.104,5.615,True
Schwerkraft [Planet],sl0,056e3d6a2cd908666f6387802494883b,5e459bfe5c5c8f49c921dbb58d12508e3a22dc51a1fee3912df63f1c739a96ee,-0.423,0.081,5.553,True
dolorosa melodia　 -EX-,st1,058166279df278ff728ff04067a83aa3,2bb2c17a2fa55a89606c5c55a0c72c94e383479abbf09574f4241d4fd0032a1a,0.781,0.978,12.296,True
The Grinder [God],st2,05a453b0d8777d9233827b79c4987438,60358203fe615817511db6078b5e940176c0c2a84cc4a7fe531d1a49ac3f53d7,0.650,1.019,8.786,True
Grimheart [Heartbeat],sl2,05f42d8167d387d7393638809bad0dae,a0aa4c0ea960ccff415dadeebcbb3a1c705af09100b4059b8ccdaea4162bf971,-0.090,0.248,8.611,True
MIGHTY OBSTACLE,st0,05f93d54b6a4441b38ec5b3312aa19f1,7e56e7e36726b3fdd532454c5bb406ee4128d8b3fc29f383ec2e2e296fc91b89,0.596,0.803,15.538,True
Derve [Grief],sl5,06047207dfad48b69f0332117e69e7f6,be3b674328376b5ae1b02f463482edee94201d2808fee90e2d6a4c45fe97391b,0.216,0.453,9.274,True
君の色に染まる [幸せの約束],sl0,060cd782f7c35c2b0f4f31f6e190ad2c,db17ecc12a240a4bec7146fc5c2ea0bd8902e9b04f7834cb74a2b92d34fc96f9,-0.661,-0.070,5.087,True
Creamy Sky [SP HELL],sl12,0613c5e457a4ce1f7b6fa2a4f1a7f554,c0a12fc620fafacb45a6b01731034351f148efdbb05d9a9dcd672b0d8866bff1,0.540,0.765,9.471,True
CODE-F -soar to the Frontier- [地力],st3,0638c5aaa79a3d748eb6d49f9d6ad1b2,e5cae5b5a724098717a81211bc148547551815e6d5f87fcb59f043c1b66c9c8e,0.827,1.149,8.943,True
T.S : Terminal Strike [GOD],st1,0662edd19b430266883c92a0345e54ba,ac3169d0da3787d2cf6bb7f7dc9a15436ebf59f451c5cd3a08d3366deeda0f26,0.736,0.967,10.558,True
Dizzolve [Insane],sl6,06b00171574f13d3d7a314f4fcd0c00d,ff5e08650d1800d406fe2212a0213f90ea20d013856cffce97fc0c2603e08f4c,0.319,0.512,8.548,True
Alice in Misanthrope -厭世アリス- [INSANE],st1,06bce609c001cfd7ecf1b28a513b9a6c,eb5200dfdacb755f22f33a2e98d84eceb444d68a7cac6416f18545daf71a9c09,0.723,0.961,8.068,True
Wildcard,sl0,06c5347046f8ee50618cd6685d5f621a,bdf92e24461023b38b1e127493b5ae8c54847062518ae1c76bc5d24e25710eba,-0.519,-0.108,6.286,True
MAGENTA POTION [ANOTHER],sl0,06edf6b0b2f7b1f4582d27bac38a6840,5372cd420abacffb2c412c8bb06f8d037ad8de6caa5a1ef60b7ce36b330391ec,-0.552,0.043,5.807,True
Bioinformatics,sl0,07026c7b3111bb4b65b36db269a949cf,2693c56b35f168a634aa25522fa6d5393ed304d4dacc515c413657d61b311e59,-0.406,0.016,5.625,True
8bit Adventurer [Epilogue],st2,07254a7724162b02312aadea3cb76433,af00c9343c1428ffd77898e8a341d96aceacc58708d6ed8531379663554b671b,0.771,1.091,11.242,True
Funny Funky Freaky [HARD+],sl7,0749104be4e059e275928ea5c463f36d,2962ea5aa98be9cb7cfa97bfe437bffaeb331917c4d478cd18dbae39c41852fe,0.272,0.521,9.564,True
twinkle white* [snow memory],sl1,07584f43a50e661ac3f8c1319d68e3d7,186c33416ad03e7a42c65c63309ddcce0f912e97bd2f1303005d6f5112791ff4,-0.170,0.106,7.591,True
Boxel Adventure [7-1],sl11,0767b28a8b20a792a185761bee33940d,d13c669e1b60f7921e636c7e176442a32279c20e8f8370e2079aef4476f1975e,0.358,0.693,10.908,True
Grayed Out -Antifront- [Luna],sl10,07685c8cfbfa61913ddf6a90fb31fe92,b943a8052243e813d24eeb2672a74ebd1f9f9fad71245a2da229db111d9c6401,0.484,0.668,12.039,True
Falling in LOVE -非実在ラヴ-,st2,07731f244734236f90893c71d9652873,08beb9a91a8b77781be92c4a346da2c0e4dea93c725ca48c1f0e691ee9883cc3,0.853,0.995,12.898,True
Colorful Dream [虹],sl10,07993824a3248b87a0bb41a4853df7af,74b9219ab72773eb01a1a4198ccdf06a67f1110e559cad985e19c074f26d8956,0.502,0.662,12.215,True
"Precious!!! [7key,Another]",sl0,07baa34abf34131ee20ab40b70354037,206b7c1b30d4c12805f0c4cb2ce8ce0ece18b40ef2531221e0faa09cf660c3d1,-0.627,-0.020,5.136,True
HARDCORE UNDERSTAND [ANOTHER],sl3,07bdaf0e10d28457e899c3569fdc82d1,28b1cdea61c2df2c8eeebd0db599573b41a8967dc01ece3f4bb87d8717db635a,0.049,0.292,8.385,True
オリヴィアの幻術 [Close-up],sl1,07ccb43800fa8e702c51a5e3c73cef9d,aa5115ccfa17c1d0147c8f5f8e88e81288fc9f3f2c2b6b4ef39386b7a7361d25,-0.331,0.100,7.041,True
ENERGY SYNERGY MATRIX [Nemesis],sl9,07d0643bd73d5aba7415b513003b38cf,af79cf59bbec565c61c4ea2b4acdce20d77b0f5a06c24b378205fcfb0a297a29,0.266,0.596,10.974,True
Dance Doll Dream [Antoinette],sl5,07d34c956f9888abc25e56ab09f9e660,1aac0add9ab9b2821b06f0ccc9e4f61f1b66de5ab03bcce750e133790606fc91,-0.041,0.350,10.132,True
Neo Side,sl3,07f9eb88365d71b6e0a3c6e2afb461d2,8d2b10f1e0e016ca4809fb54b79613a191a28e3b922c78f36c33f7248bfe5347,-0.195,0.200,5.149,True
夢、幻。 [INFERNO],st1,080f9c36fca8e43b7fe686254404b851,c36439440600312125f135a37c6f540a9617f90b632995c1da060d3ec9a69c44,0.597,0.874,12.074,True
HEXPERUS [SP INSANE],sl6,081f3e162b1d88f0f0e59a44593af6e4,629393926a83860f36bc9b65258d22d3d93cac7112207dc975f014a400ce223a,0.217,0.481,8.956,True
恋愛シンドローム [B78],sl6,0834dedec7dd67bb724c90a42a115a29,411e6d3dfd454368f4624b6bafea32e4341e56d1fb4db296e253227cb52b6a24,0.349,0.523,14.905,True
空想都市トーキョー -TOKYO 2020-,sl8,0850b0d1fb8c36dc9a53f8a23aaff459,7e29c26c93b5b61bf86657baa75fa7f1ccab406274db46f37225857c873cc841,0.430,0.637,9.840,True
My Little Sweet Kitty [Cookies],sl2,0862a9ce0662a2feb967e3670d94089c,26f2701aa5331141f2fce3c0956c386caaebeadb36e5c378331b2a98855c0cb4,-0.221,0.225,4.443,True
Disorder -Despair-,st2,087f77e584f4d0e3cca833e4a868ab19,78bb67cd838086cdf6ef71c219a45abcbd3f3b2c18f53908ee844a7067e12f11,0.674,1.006,11.880,True
Wicked plot [^v^],st5,0891e141ced4a92903459947e234f296,75bd1c77ad8b5b4c67725db6b70d56b3dee919a08c072905ff640e0d6baa2ae2,1.055,1.693,5.894,True
THE SERVANT OF EVIL [HARDEST],sl12,08cb3fffabed0325d39c0168f0bca47c,80eeb8cad2b4ff332ef8338cbbe81547c233d8b7d2179f48405d85487d7856ac,0.652,0.799,13.315,True
All is fair in Rage [Toasty Fatality],sl10,08cd57615b032334aea711bff8392254,b85c6dc055d1b9c3319c1f311686750144077fc0fc13ca25b2a7864fe6affd01,0.433,0.657,12.020,True
Sylvie [Teaching Feeling],sl7,08d506ee9afb235809c8ea64d1aba522,46d46496f9da4fe86561251a34b012bb6802b7345cf2b106c017511a1b218ba1,0.317,0.501,13.571,True
reflection [7KEYS ANOTHER],sl0,08d5195f34a425ea7d545ba6cf39c074,4ff3862ee3445c24da7d181d140847e653d5844eb2d2c3fba0c0b975979134a9,-0.915,-0.148,4.043,True
Sakura Fubuki [ZOI],sl6,08d63a18406f7d418e22f226f0aa644a,df9f86d922ac645421a65704e7d6f0bd6d6d7b99e438b7f3ef4c4ed50900677c,0.300,0.493,9.451,True
Renaissance [Revolution],sl3,08dc0a32a403439741308b35b75e02e4,a41b0a8def77f292b4d212376e1c0134f551de0c7c6a8b085828262674226573,-0.067,0.271,10.344,True
Halcyon [ABNORMAL],sl4,08ea8d9d29444f6af16363dd420de96e,830025db8fa8e01c05312268afd4dd5a4ec497d6ce1debc6c075293437a8cab4,0.204,0.401,9.709,True
Baby [Beloved],sl3,08f6193cce0da133288d4708c941062f,671e2e0475b276b3fc9abac9f7a8e14eb80a254c37ffa539fd66f7af08ab393b,-0.074,0.284,15.166,True
Materialize Anything [Ground Fissure],st0,091e742ab34187cb2cc63f461f1a80ca,f72201de1aeddcefd8da6220be0ddb8ea9def7cf8cedb6928baffaf186f23fba,0.554,0.788,10.595,True
サクライロフワリ (INUther),sl0,092306d5989d41ceed12f826df2749a6,8c3d485b393c276cec824a229b6c456c4779685e58efd31b720fcee93511ca61,-0.630,-0.094,5.406,True
BRAIN BREAKER [INCENTIVE],st4,092512fc826da66f52b9144b9632a4a3,da0008287b02adda42295a8cbbfc572f0931d32116a03207b6fb8a6d983525e2,1.034,1.456,7.823,True
squartatrice,st2,093528a97ffd1b755a9ffbe8a483c218,3928078cba47cb2cfcf759b7cb9ea687861981f274d2bf1a6a3dafd412840b07,0.827,1.273,6.972,True
イルルヤンカシュは神を弑逆する [SP ANOTHER],sl0,093fb661207fe756ea87327d9d4858de,7d848f20caf07c202e998f2b30a30ee758c1fbb664ca636fb14f2d87d617fdd6,-0.920,-0.150,5.611,True
DiSASTER UNiT : CODE_NAME_666 [There is no reason],st4,09515c9ba455064d63883cab5f01f079,15950d0ceefb016310db1ee0403f6950fc1bec1c62fce54a83d9cd5213391c8f,0.877,1.519,6.307,True
u gotta party [Viva La Vida!],sl5,0957a43c8b830d1930c29bee63fc1a14,a54b6a8eb9339951f60353ca56b4ab20614e43f74787e07d511c308f8eb7a6c5,0.225,0.407,9.954,True
Calamity Fortune [INFERNO],st4,096087f9fec3c8f065912682314e3496,ff2f8d4421b133a35731d46c03cce5671e6cdcc0b0bc35d8ef4629259bc7c0ec,0.894,1.203,6.250,True
Girl's Heart ～人形少女 [SP ANOTHER],sl0,097298ec8c64bd0708ceaf60c413fc64,f9d62f9b504728ba7b08b9b6bdd2eff7aa6aa158ed48add9e7b03f5e51c8d128,-0.761,-0.103,4.631,True
性的猟奇的無意味 [7key_Death],st3,0991c218a17e1a2f26d31d7a719f1e0c,21200a7c0236596a0137254b5f30610bd941eb3b0048e49542fcaf9254505ee4,0.766,1.160,9.759,True
Deublithick [HARD],sl5,099bba7a9dda938b26d5083d61c19cb1,3625fe6f08a9728aa4af82f53722ae57ed3b2e8a62ca43eb3d8f2da184365fff,0.064,0.370,7.391,True
Hypnos Metropolis,sl2,09a318044430479ac299f8ebc98d0647,94db4fea80d34166ef7693f77dfa61cccdc93e7e3b71c64cd236debcbc74c95d,-0.132,0.199,8.760,True
Faurie [INSANE],st5,09b6324e00251acf3ba57c1437ac08fe,1ddee3ef8f6c3839d90e40946d72ba40cdbaad4621c2948871b6483199d1ec45,1.081,1.582,8.112,True
エピトゥリカの祀 [cprac-easy],sl6,0a17d3157cec38aa5e02a00fea432e6c,d3bfb85f6436094a8686a0e4606c5d7d95c55af40104a7ebb170ce438e9fb0dd,0.291,0.438,12.863,True
緋音月 [SP INSANE],sl5,0a21aba031f7821db3644820c6f67a4d,f2a27a3f811f4fec9657312c6d99e6a8670c0e439ea4da3bcb574c5c4ff923e9,0.280,0.446,9.601,True
lightsphere -ほしをみるひと-,sl0,0a3c046f60b71eb86731cb75173a0d5b,9c9bcf97498f190a3ac254e8d0c8731f268f9d6fefa9c54b2280f8847cbfc14c,-0.389,-0.069,6.699,True
村 [村 of a Bitch],sl7,0a682def4c79d7bd55a5c885b4d85638,40ce8ca26be98b63aff64ff461e2e882aebc09ca36a9493bb330aa188c3546b1,0.307,0.471,8.544,True
Fatal Pulse [Hyperpnea],sl9,0a7556dd67ac8c0d236c35452844e3d8,48ec41eae091878dd22d7a7fdfa95fae6b695b88346bd0eb88d9ded11d330d6b,0.356,0.641,11.067,True
deep blue sunrise (pw-Another+),sl3,0abfc1cab92f3be6a0a6a83c7256cbd6,5ab0848c6881e9280e8e383dbab42af763d2b357d2b07ad743f464cb614f50ba,-0.026,0.288,8.911,True
Baby [prologue],st0,0ac40f18fbad45601dba5a110741c6f3,14c37f310047cd28cb2431fbf4bbe7b885f07dc81fe20ea9bac0233f21d74f3c,0.602,0.870,9.892,True
Bird Sprite -Awakening of Light- [HARDEST],sl11,0ac8f37c4d1fcae3ed3e535b77c1062d,9b548c0fcced40efd0ba95f29b86446f16fef83a77ba681b6f53972a232977bc,0.509,0.680,12.874,True
THE CRISIS [SP ANOTHER],sl2,0ae507fb799488c772a0d71b1fe1c506,e83d07d0c902110b8d5207102f9730f1fa4cf9f1293491fc1fe146d9001f24eb,-0.483,0.197,5.108,True
Air,sl3,0b1582496c59b4a97f44a599ff900b51,d87984341785e68b3e9e3343a9ab5b2d1ad2857081b0791a6b59ab927ba54a5e,-0.010,0.184,8.882,True
Demagogie [Hetzerei],sl3,0b1b155fe41684cab37abaca57f7894e,ba2d5ed5284e42c7b366977eda608e0294e57f25d17b4babc2739b2d95abe72f,0.064,0.292,10.306,True
God Morning [Maryther],st4,0b3382d2bc20ab4ae70514a89c8d8ba0,b90b01b5a3f96e52037221dde699a0f88089e287a7fc422e3cc7266ebe7f6f7c,0.944,1.690,5.414,True
壽 [SPICY],sl8,0b3e049128b7f10519ce383f03ce9602,a34e6f575ec0e6e7dad0935d3c115acca26821fdf37de7884b4894689694ca2d,0.445,0.634,11.027,True
BAD NEWS  [Another],sl4,0b4058268c2f96600906b3a9dfa4d1c3,a7ec6d08f027dbfa34c860e23e22a819443af776af66f369a78be201d096b39c,0.117,0.375,7.658,True
Disco☆Girl -踊る少女-,st1,0b518dd7b6e46c147245a7b9d4a6dcc7,13a628803e3dacec7d72147e1f443a1bbb8dd10980e11ef3e2e281bf7cbac3ce,0.707,0.895,11.212,True
少女の舞葬 [No_more],st3,0b5f10cc5b6ee23dff60442b4f0ecd36,f1316849cfbd246a48927b99513484cb0117619f9e43b9715ab3368c4757b2f7,0.780,1.113,8.961,True
Sacrificio [INSANE],sl6,0b68dbd12fd4940c3432d7a9070925c9,a6ee2831d4dbab654a0b02559cb95845eadd73526ce882d45beea70afe851851,0.313,0.512,10.515,True
Luv of Magical Synth [LuvTek's Magical Sabun],st3,0be4d1d469fab7326850e5273200f855,e6020873351e754d3aadb92ea1d79814e462e73cd857216062ae8c355715fd72,0.870,1.065,9.710,True
春夏秋冬少女 [All Season],sl6,0bf31b7065975f58a983142a3146da1d,70afa096361bde2bc3980a60647ddbd4a55f433b51f06ccbfa77da20975e8059,0.184,0.457,10.062,True
Akasagarbha  [Sabother],sl7,0bfa7f16d645bd2fb14212ac55e47274,8dfcec1631d0937d8af2172b7586a8ee5198a86b347bfc900bbcebfa34cd104f,0.213,0.463,10.124,True
Kronos [HARDEST],sl9,0c51e47d6fdc676311e429e50a090d5a,059c2fad119e033ed4f5d73eb63fde472c5175c71375bb025389c20489d0500c,0.435,0.613,12.528,True
Miaplacidus [Beta Carinae],st2,0c87bfd3bc66f7af4769ee6e1c76c882,534850523507a52926175f84751621815ade832d3f675f2cb2976287ba501de9,0.773,0.969,12.593,True
でじこあ [MANIAC],st3,0cb2464f1b4d8a8f401b26e3cdd45e47,427076bd1d41b9ec90434e4f3e36bf1a991421fab59f5da5075cc6b606d2d26d,0.780,1.493,5.015,True
Sesame Kingdom [Cumin Flavor],sl6,0cbbb890dd63a20938f97edd2db42e4c,aa2853f692aa1d5bd646ba38c7d0a8227a1989dc3d3f961c11af6ddd2c81500f,0.264,0.491,8.939,True
Regain [EGO DEATH],sl1,0cbc7b980f664e7e0eb2214c965c2180,dfc0827fe93236335a3af540999a8a68d056380712fd4d345a7810e324f44c8e,-0.553,0.036,5.196,True
Adularescence,st0,0cca056c997d6a90f5873b2998a36138,77fe150d42115a51ca82fbab97f14768b36af1210abb0550f33c9031bf37c90d,0.684,0.859,11.384,True
NightTheater [SP AGASTIA],sl1,0cecd610a3ec8dd993edfc9907de5120,645dc3fb3b858ba4fc08794d9478812f8243542a2983f78fc344239507c892c6,-0.246,0.157,7.994,True
